variant_id,model_year,region,body_style,trim_level,drivetrain,wheelbase_mm,curb_mass_kg,drag_coefficient,frontal_area_m2,max_payload_kg,tow_rating_kg,homologation_code,active_aero,certification_market,test_cycle,procedure_standard,gcwr_kg,braked_trailer_rating_kg,unbraked_trailer_rating_kg
OAM-V0011,2027,EU,van,Premium,FWD,3396,2608,0.378,4.01,1056,3273,EU-2027-2311,false,European Union,WLTP,UNECE R154,7146,3273,750
OAM-V0012,2024,UK,van,Sport,FWD,3455,2837,0.355,3.67,1257,1824,UK-2024-4300,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,6048,1824,750
OAM-V0013,2025,GCC,pickup,Executive,RWD,3483,2761,0.411,3.60,772,2673,GCC-2025-2760,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,6379,2673,750
OAM-V0014,2026,JP,wagon,Touring,4WD,3071,2100,0.257,2.36,590,1321,JP-2026-8944,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4170,1321,750
OAM-V0015,2027,JP,pickup,Fleet,4WD,3650,3286,0.352,3.07,948,4896,JP-2027-9537,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,9339,4896,750
OAM-V0016,2024,AU,van,Executive,RWD,3761,3391,0.367,3.86,1472,3401,AU-2024-1004,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,8497,3401,750
OAM-V0017,2025,UK,sedan,Premium,RWD,2929,1649,0.224,2.23,410,1331,UK-2025-3084,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,3633,1331,750
OAM-V0018,2026,KR,wagon,Sport,AWD,2933,2176,0.246,2.36,482,1510,KR-2026-6665,true,Korea,WLTC-KR,KATRI/WLTC,4298,1510,750
OAM-V0019,2027,JP,van,Premium,4WD,3787,2698,0.333,4.10,1017,2221,JP-2027-5155,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,6181,2221,750
OAM-V0020,2024,UK,van,Touring,4WD,3499,2388,0.339,3.75,826,3590,UK-2024-8644,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,6945,3590,750
OAM-V0021,2025,GCC,wagon,Fleet,AWD,2967,1925,0.242,2.47,577,2025,GCC-2025-7649,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4639,2025,750
OAM-V0022,2026,KR,wagon,Fleet,FWD,2922,1871,0.248,2.30,515,1416,KR-2026-8674,false,Korea,WLTC-KR,KATRI/WLTC,3908,1416,750
OAM-V0023,2027,NA,sedan,Touring,FWD,2808,1653,0.225,2.20,434,28,NA-2027-9359,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2343,28,28
OAM-V0024,2024,AU,suv,Performance,4WD,2928,2515,0.271,2.70,609,2563,AU-2024-9404,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,5914,2563,750
OAM-V0025,2025,NA,sedan,Touring,RWD,2950,1450,0.227,2.36,547,0,NA-2025-4612,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2209,0,0
OAM-V0026,2026,EU,sedan,Fleet,FWD,2716,1891,0.265,2.19,445,0,EU-2026-7259,true,European Union,WLTP,UNECE R154,2489,0,0
OAM-V0027,2027,EU,liftback,Performance,4WD,2980,1861,0.210,2.35,450,507,EU-2027-3873,false,European Union,WLTP,UNECE R154,2933,507,507
OAM-V0028,2024,NA,liftback,Executive,AWD,2832,1715,0.228,2.25,513,0,NA-2024-6647,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2426,0,0
OAM-V0029,2025,AU,van,Sport,AWD,3538,3414,0.336,3.44,1036,3190,AU-2025-7528,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7885,3190,750
OAM-V0030,2026,EU,pickup,Premium,4WD,3295,2544,0.415,3.11,895,5677,EU-2026-6298,false,European Union,WLTP,UNECE R154,9256,5677,750
OAM-V0031,2027,LATAM,pickup,Executive,AWD,3513,2458,0.412,3.21,1022,4211,LATAM-2027-8953,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,7913,4211,750
OAM-V0032,2024,NA,liftback,Executive,FWD,2964,1662,0.278,2.18,463,0,NA-2024-7819,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2302,0,0
OAM-V0033,2025,KR,crossover,Performance,FWD,3112,1938,0.262,2.53,569,1423,KR-2025-3282,true,Korea,WLTC-KR,KATRI/WLTC,4176,1423,750
OAM-V0034,2026,KR,liftback,Sport,FWD,2808,1741,0.270,2.44,483,550,KR-2026-7972,false,Korea,WLTC-KR,KATRI/WLTC,2950,550,550
OAM-V0035,2027,AU,crossover,Sport,4WD,2949,2305,0.259,2.46,583,2559,AU-2027-9890,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,5591,2559,750
OAM-V0036,2024,EU,sedan,Executive,4WD,2936,1772,0.289,2.18,440,0,EU-2024-1192,false,European Union,WLTP,UNECE R154,2398,0,0
OAM-V0037,2025,AU,pickup,Fleet,AWD,3268,2501,0.434,3.57,938,4377,AU-2025-1334,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,8034,4377,750
OAM-V0038,2026,AU,pickup,Sport,RWD,3331,2852,0.317,3.44,847,2569,AU-2026-2286,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,6466,2569,750
OAM-V0039,2027,EU,pickup,Touring,4WD,3406,2533,0.439,3.57,721,4604,EU-2027-4136,false,European Union,WLTP,UNECE R154,8016,4604,750
OAM-V0040,2024,EU,wagon,Premium,4WD,2808,2094,0.283,2.54,464,1314,EU-2024-4955,false,European Union,WLTP,UNECE R154,4120,1314,750
OAM-V0041,2025,JP,liftback,Base,AWD,2773,1596,0.273,2.38,500,1089,JP-2025-6683,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,3407,1089,750
OAM-V0042,2026,KR,liftback,Sport,FWD,2794,1995,0.295,2.33,496,480,KR-2026-5412,false,Korea,WLTC-KR,KATRI/WLTC,3149,480,480
OAM-V0043,2027,AU,van,Sport,4WD,4242,2944,0.326,3.33,988,3594,AU-2027-3024,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7767,3594,750
OAM-V0044,2024,UK,van,Fleet,RWD,4156,2707,0.356,3.50,971,2165,UK-2024-6901,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5978,2165,750
OAM-V0045,2025,EU,suv,Fleet,RWD,3177,2252,0.310,2.85,766,3475,EU-2025-1719,false,European Union,WLTP,UNECE R154,6697,3475,750
OAM-V0046,2026,AU,liftback,Touring,4WD,2773,2076,0.268,2.40,504,1469,AU-2026-4197,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4157,1469,750
OAM-V0047,2027,LATAM,wagon,Executive,FWD,3062,2059,0.312,2.43,633,1667,LATAM-2027-6485,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4586,1667,750
OAM-V0048,2024,GCC,wagon,Base,AWD,3040,1713,0.304,2.29,506,1361,GCC-2024-1978,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,3803,1361,750
OAM-V0049,2025,UK,crossover,Sport,FWD,3105,2221,0.244,2.50,469,2370,UK-2025-6912,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5226,2370,750
OAM-V0050,2026,KR,crossover,Premium,FWD,2900,2277,0.247,2.81,561,2235,KR-2026-1389,true,Korea,WLTC-KR,KATRI/WLTC,5253,2235,750
OAM-V0051,2027,JP,pickup,Fleet,4WD,3528,2397,0.418,3.36,878,4370,JP-2027-5934,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,7787,4370,750
OAM-V0052,2024,AU,suv,Fleet,FWD,3069,2369,0.363,2.70,633,2158,AU-2024-3146,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,5388,2158,750
OAM-V0053,2025,NA,van,Sport,RWD,3420,3150,0.337,3.25,1587,3336,NA-2025-3171,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,8254,3336,750
OAM-V0054,2026,UK,crossover,Base,4WD,3122,1954,0.293,2.45,539,1350,UK-2026-3470,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4053,1350,750
OAM-V0055,2027,NA,crossover,Executive,AWD,3108,1985,0.328,2.47,510,2114,NA-2027-5788,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4774,2114,750
OAM-V0056,2024,NA,pickup,Base,RWD,3469,3265,0.371,3.19,1045,3732,NA-2024-6871,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,8211,3732,750
OAM-V0057,2025,JP,sedan,Premium,RWD,2725,1552,0.283,2.16,493,8,JP-2025-1745,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2163,8,8
OAM-V0058,2026,JP,crossover,Sport,AWD,2883,2128,0.311,2.57,498,2006,JP-2026-6671,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4779,2006,750
OAM-V0059,2027,UK,sedan,Sport,RWD,2970,1495,0.257,2.37,444,0,UK-2027-5752,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,2157,0,0
OAM-V0060,2024,GCC,sedan,Fleet,4WD,2887,1653,0.232,2.16,402,932,GCC-2024-9522,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,3211,932,750
OAM-V0061,2025,LATAM,crossover,Executive,4WD,2980,2461,0.293,2.84,513,1516,LATAM-2025-5870,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4650,1516,750
OAM-V0062,2026,KR,wagon,Sport,RWD,3028,2072,0.290,2.37,589,1784,KR-2026-4401,false,Korea,WLTC-KR,KATRI/WLTC,4593,1784,750
OAM-V0063,2027,GCC,crossover,Fleet,AWD,2830,2429,0.281,2.78,624,1905,GCC-2027-7844,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,5121,1905,750
OAM-V0064,2024,AU,pickup,Premium,AWD,3611,3042,0.350,3.04,945,4856,AU-2024-8505,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,8946,4856,750
OAM-V0065,2025,EU,crossover,Base,AWD,3044,2203,0.308,2.75,557,2592,EU-2025-8221,false,European Union,WLTP,UNECE R154,5571,2592,750
OAM-V0066,2026,KR,pickup,Premium,4WD,3570,3120,0.392,3.49,701,4458,KR-2026-7058,false,Korea,WLTC-KR,KATRI/WLTC,8487,4458,750
OAM-V0067,2027,GCC,wagon,Base,AWD,3078,1955,0.274,2.26,547,1858,GCC-2027-8049,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4506,1858,750
OAM-V0068,2024,KR,wagon,Executive,4WD,3000,2288,0.318,2.32,513,1522,KR-2024-6523,false,Korea,WLTC-KR,KATRI/WLTC,4424,1522,750
OAM-V0069,2025,EU,liftback,Sport,FWD,2924,1718,0.275,2.40,580,59,EU-2025-3815,false,European Union,WLTP,UNECE R154,2587,59,59
OAM-V0070,2026,UK,pickup,Touring,4WD,3404,2759,0.361,3.42,867,4287,UK-2026-4971,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,8075,4287,750
OAM-V0071,2027,NA,crossover,Premium,RWD,3062,1786,0.296,2.56,541,1410,NA-2027-2286,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3939,1410,750
OAM-V0072,2024,UK,wagon,Base,4WD,3036,2219,0.283,2.31,456,1577,UK-2024-6645,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4483,1577,750
OAM-V0073,2025,AU,suv,Executive,AWD,3038,2172,0.340,2.93,560,2413,AU-2025-1208,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,5282,2413,750
OAM-V0074,2026,AU,sedan,Touring,AWD,2926,1638,0.247,2.31,494,0,AU-2026-2245,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2284,0,0
OAM-V0075,2027,UK,suv,Sport,4WD,2859,2613,0.360,3.08,633,3405,UK-2027-6830,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,6796,3405,750
OAM-V0076,2024,EU,wagon,Executive,AWD,2941,1798,0.298,2.47,469,1561,EU-2024-9742,false,European Union,WLTP,UNECE R154,4004,1561,750
OAM-V0077,2025,GCC,pickup,Executive,4WD,3667,2547,0.402,3.31,1132,5431,GCC-2025-3062,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,9238,5431,750
OAM-V0078,2026,GCC,crossover,Executive,FWD,2759,2251,0.243,2.78,653,1391,GCC-2026-7332,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4447,1391,750
OAM-V0079,2027,LATAM,wagon,Performance,AWD,2965,2155,0.270,2.39,498,1292,LATAM-2027-3808,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4172,1292,750
OAM-V0080,2024,AU,crossover,Touring,4WD,3003,2423,0.246,2.62,516,2522,AU-2024-6871,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,5633,2522,750
OAM-V0081,2025,LATAM,crossover,Base,4WD,2968,2425,0.275,2.50,631,1503,LATAM-2025-2436,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4673,1503,750
OAM-V0082,2026,NA,van,Executive,FWD,3628,2855,0.311,3.71,1369,1995,NA-2026-2446,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,6326,1995,750
OAM-V0083,2027,GCC,van,Sport,4WD,4019,2979,0.351,3.76,1287,2448,GCC-2027-5924,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,6892,2448,750
OAM-V0084,2024,AU,crossover,Base,4WD,2823,2146,0.312,2.75,659,2548,AU-2024-1832,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,5563,2548,750
OAM-V0085,2025,AU,sedan,Fleet,FWD,2785,1761,0.245,2.25,429,0,AU-2025-1710,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2382,0,0
OAM-V0086,2026,AU,crossover,Base,4WD,3100,1952,0.298,2.63,458,1787,AU-2026-3688,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4300,1787,750
OAM-V0087,2027,AU,crossover,Base,RWD,3003,2210,0.276,2.72,595,1227,AU-2027-6205,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4225,1227,750
OAM-V0088,2024,LATAM,pickup,Executive,4WD,3698,3316,0.362,3.08,1153,5671,LATAM-2024-7127,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,10311,5671,750
OAM-V0089,2025,AU,sedan,Fleet,RWD,2825,1866,0.198,2.28,486,359,AU-2025-1096,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2829,359,359
OAM-V0090,2026,KR,pickup,Base,4WD,3699,2323,0.346,3.29,662,5744,KR-2026-2410,true,Korea,WLTC-KR,KATRI/WLTC,8835,5744,750
OAM-V0091,2027,JP,sedan,Sport,AWD,2978,1825,0.299,2.31,468,0,JP-2027-4828,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2540,0,0
OAM-V0092,2024,UK,van,Fleet,AWD,4183,2518,0.385,3.63,1439,3360,UK-2024-9501,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,7479,3360,750
OAM-V0093,2025,NA,crossover,Fleet,RWD,3111,1755,0.286,2.50,550,2082,NA-2025-3362,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4488,2082,750
OAM-V0094,2026,AU,van,Premium,RWD,4014,2909,0.366,3.78,1537,2802,AU-2026-5983,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7360,2802,750
OAM-V0095,2027,UK,van,Base,RWD,3704,2414,0.284,3.34,1154,3311,UK-2027-2511,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,7008,3311,750
OAM-V0096,2024,KR,wagon,Touring,RWD,2993,1809,0.299,2.30,479,1303,KR-2024-1873,false,Korea,WLTC-KR,KATRI/WLTC,3704,1303,750
OAM-V0097,2025,GCC,suv,Fleet,FWD,2994,2073,0.292,2.96,747,2082,GCC-2025-9931,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,5141,2082,750
OAM-V0098,2026,KR,van,Fleet,RWD,4011,2687,0.357,3.43,1527,3416,KR-2026-1709,false,Korea,WLTC-KR,KATRI/WLTC,7770,3416,750
OAM-V0099,2027,KR,suv,Fleet,AWD,2875,2424,0.321,2.99,630,2402,KR-2027-9602,true,Korea,WLTC-KR,KATRI/WLTC,5614,2402,750
OAM-V0100,2024,LATAM,liftback,Touring,RWD,3019,1958,0.279,2.16,556,1000,LATAM-2024-5227,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3628,1000,750
OAM-V0101,2025,KR,crossover,Fleet,AWD,2789,2031,0.270,2.67,535,1845,KR-2025-6332,true,Korea,WLTC-KR,KATRI/WLTC,4574,1845,750
OAM-V0102,2026,UK,wagon,Sport,4WD,3035,2048,0.269,2.36,633,2025,UK-2026-9795,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4817,2025,750
OAM-V0103,2027,AU,crossover,Fleet,4WD,3085,2025,0.299,2.64,464,2306,AU-2027-6790,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4997,2306,750
OAM-V0104,2024,LATAM,van,Executive,FWD,3624,2408,0.312,3.25,986,2796,LATAM-2024-9370,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,6418,2796,750
OAM-V0105,2025,JP,van,Executive,RWD,3954,3526,0.394,3.71,1343,2071,JP-2025-2094,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,7090,2071,750
OAM-V0106,2026,LATAM,suv,Performance,RWD,3225,2157,0.350,2.89,775,1989,LATAM-2026-2413,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5145,1989,750
OAM-V0107,2027,UK,van,Base,FWD,3955,3483,0.349,4.01,1032,2342,UK-2027-1424,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,6966,2342,750
OAM-V0108,2024,GCC,crossover,Fleet,FWD,3015,1772,0.263,2.79,505,1908,GCC-2024-1655,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4342,1908,750
OAM-V0109,2025,UK,crossover,Executive,AWD,3048,2237,0.278,2.68,676,1399,UK-2025-8816,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4523,1399,750
OAM-V0110,2026,KR,liftback,Sport,FWD,2953,1581,0.260,2.37,528,259,KR-2026-8363,true,Korea,WLTC-KR,KATRI/WLTC,2612,259,259
OAM-V0111,2027,NA,liftback,Fleet,RWD,2874,1987,0.279,2.16,510,0,NA-2027-2694,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2628,0,0
OAM-V0112,2024,LATAM,van,Fleet,4WD,3394,2623,0.334,3.40,1066,2366,LATAM-2024-4556,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,6242,2366,750
OAM-V0113,2025,KR,pickup,Touring,4WD,3684,2492,0.312,3.42,699,4297,KR-2025-8434,true,Korea,WLTC-KR,KATRI/WLTC,7627,4297,750
OAM-V0114,2026,LATAM,sedan,Base,4WD,2706,2047,0.275,2.22,560,0,LATAM-2026-1344,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2834,0,0
OAM-V0115,2027,UK,pickup,Touring,AWD,3371,2949,0.390,3.60,694,3981,UK-2027-3221,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,7811,3981,750
OAM-V0116,2024,NA,van,Premium,RWD,3349,2697,0.357,3.23,1550,2810,NA-2024-6462,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,7234,2810,750
OAM-V0117,2025,UK,pickup,Touring,AWD,3210,2598,0.410,3.07,807,4837,UK-2025-6496,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,8353,4837,750
OAM-V0118,2026,AU,crossover,Performance,4WD,2878,2424,0.308,2.67,658,1165,AU-2026-6496,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4470,1165,750
OAM-V0119,2027,NA,wagon,Base,4WD,2847,2170,0.272,2.52,578,1689,NA-2027-5361,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4634,1689,750
OAM-V0120,2024,AU,liftback,Performance,4WD,2756,1672,0.186,2.21,481,0,AU-2024-1799,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2352,0,0
OAM-V0121,2025,AU,liftback,Sport,FWD,2864,1558,0.267,2.23,519,944,AU-2025-4905,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3238,944,750
OAM-V0122,2026,JP,van,Performance,AWD,3837,3410,0.360,4.06,1078,1872,JP-2026-9243,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,6608,1872,750
OAM-V0123,2027,JP,van,Base,AWD,3688,3529,0.342,3.47,998,2010,JP-2027-8701,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,6670,2010,750
OAM-V0124,2024,EU,crossover,Executive,RWD,2884,2200,0.311,2.79,529,1626,EU-2024-3373,false,European Union,WLTP,UNECE R154,4492,1626,750
OAM-V0125,2025,KR,liftback,Sport,FWD,3017,2000,0.243,2.16,566,0,KR-2025-9189,false,Korea,WLTC-KR,KATRI/WLTC,2774,0,0
OAM-V0126,2026,GCC,suv,Touring,AWD,3050,2539,0.310,2.81,736,3730,GCC-2026-7969,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,7185,3730,750
OAM-V0127,2027,GCC,suv,Premium,AWD,2866,2602,0.275,2.98,555,3500,GCC-2027-2237,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,6778,3500,750
OAM-V0128,2024,UK,liftback,Fleet,4WD,2745,1877,0.243,2.41,422,1448,UK-2024-1730,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,3855,1448,750
OAM-V0129,2025,JP,suv,Touring,AWD,2909,2438,0.347,2.70,797,2802,JP-2025-1783,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,6174,2802,750
OAM-V0130,2026,UK,crossover,Performance,AWD,2924,2001,0.262,2.61,624,910,UK-2026-7908,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,3724,910,750
OAM-V0131,2027,KR,crossover,Fleet,4WD,2852,2307,0.298,2.81,684,2377,KR-2027-4453,false,Korea,WLTC-KR,KATRI/WLTC,5598,2377,750
OAM-V0132,2024,NA,wagon,Performance,FWD,2837,1726,0.269,2.27,650,1501,NA-2024-2062,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3985,1501,750
OAM-V0133,2025,NA,sedan,Performance,4WD,2789,1884,0.252,2.25,412,964,NA-2025-8360,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3449,964,750
OAM-V0134,2026,NA,pickup,Base,4WD,3683,2783,0.351,3.53,865,4689,NA-2026-2906,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,8535,4689,750
OAM-V0135,2027,JP,liftback,Sport,FWD,2778,1729,0.269,2.40,509,644,JP-2027-4016,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2994,644,644
OAM-V0136,2024,NA,liftback,Base,4WD,2744,1610,0.287,2.17,485,24,NA-2024-8935,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2225,24,24
OAM-V0137,2025,KR,sedan,Executive,RWD,2947,1965,0.296,2.39,556,852,KR-2025-3615,false,Korea,WLTC-KR,KATRI/WLTC,3483,852,750
OAM-V0138,2026,LATAM,wagon,Executive,FWD,3034,1628,0.258,2.47,530,1740,LATAM-2026-9697,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4049,1740,750
OAM-V0139,2027,LATAM,crossover,Executive,4WD,2998,2045,0.328,2.82,633,1822,LATAM-2027-9321,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4609,1822,750
OAM-V0140,2024,EU,liftback,Performance,AWD,2772,1804,0.277,2.44,478,548,EU-2024-9569,false,European Union,WLTP,UNECE R154,2935,548,548
OAM-V0141,2025,JP,suv,Performance,4WD,3241,2180,0.318,2.66,731,1407,JP-2025-5605,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4440,1407,750
OAM-V0142,2026,KR,suv,Fleet,FWD,3056,2570,0.269,2.92,755,2089,KR-2026-2678,true,Korea,WLTC-KR,KATRI/WLTC,5590,2089,750
OAM-V0143,2027,UK,wagon,Sport,RWD,2959,1867,0.256,2.54,619,1253,UK-2027-6719,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,3839,1253,750
