calibration_id,platform_code,engine_family,displacement_l,cylinders,boost_pressure_kpa,peak_power_kw,peak_torque_nm,final_drive_ratio,fuel_map_revision,wltp_co2_g_per_km,thermal_limit_deg_c,ecu_checksum,production_release_date,propulsion_type,emissions_certification_basis,obd_standard
CAL-00001,PX55,V35H,3.5,6,128.2,248.8,754.1,3.406,FM-8.2,142,113.1,A0E9D6,2026-01-01,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00012,PX30,V30T,3.0,6,201.6,343.4,610.3,3.318,FM-8.4,234,113.1,907809,2025-07-21,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00013,PX56,V35H,3.5,6,106.2,230.3,759.2,3.205,FM-13.1,50,110.6,1D8974,2025-04-15,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00014,PX90,B18T,1.8,4,149.4,110.4,316.8,3.624,FM-11.8,121,111.8,C2BFF8,2024-11-05,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00015,PX40,V30T,3.0,6,128.6,305.1,575.5,3.612,FM-12.3,201,112.1,90E18A,2024-06-19,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00016,PX30,B18T,1.8,4,179.8,164.2,317.1,3.434,FM-8.4,178,110.7,F8EA7F,2025-06-27,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00017,PX63,V50D,5.0,8,179.2,352.6,723.0,3.970,FM-7.1,251,115.1,DE62CD,2025-02-04,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00018,PX52,V35H,3.5,6,74.6,355.3,637.7,3.201,FM-7.8,122,109.8,33E6BA,2025-06-24,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00019,PX46,V35H,3.5,6,151.5,382.4,522.2,3.663,FM-10.0,148,114.6,FF0F09,2024-11-29,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00020,PX96,V35H,3.5,6,160.5,340.7,684.9,3.394,FM-9.7,63,120.6,E653ED,2026-05-03,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00021,PX92,V50D,5.0,8,194.4,306.6,781.1,3.624,FM-12.2,217,124.6,2C5D59,2025-02-01,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00022,PX80,B18T,1.8,4,142.3,141.2,260.6,3.530,FM-10.7,132,111.8,172750,2026-06-29,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00023,PX98,V35H,3.5,6,100.8,298.6,742.1,3.516,FM-12.2,164,108.5,E34C1F,2024-10-27,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00024,PX86,B18T,1.8,4,149.0,159.5,256.6,3.770,FM-7.6,157,106.2,743A1B,2025-07-24,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00025,PX30,B20T,2.0,4,166.6,210.6,338.6,3.283,FM-8.7,178,112.7,5DD71B,2025-11-18,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00026,PX54,B20T,2.0,4,169.9,222.9,428.0,3.265,FM-8.0,156,108.8,D5448C,2024-09-17,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00027,PX74,B20T,2.0,4,139.4,228.1,404.5,3.309,FM-10.2,145,107.8,773AD3,2024-09-30,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00028,PX48,V35H,3.5,6,76.7,300.1,741.6,3.513,FM-11.8,55,110.5,7D5FDE,2026-02-06,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00029,PX25,V30T,3.0,6,226.0,300.6,597.0,3.241,FM-9.4,207,118.3,B0F6F1,2025-07-12,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00030,PX97,V35H,3.5,6,84.5,324.0,723.4,3.024,FM-13.4,47,114.8,57DB43,2024-06-26,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00031,PX61,B20T,2.0,4,203.3,193.6,426.7,3.785,FM-6.1,172,106.0,9D181F,2026-03-30,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00032,PX90,V35H,3.5,6,89.9,246.9,680.5,3.231,FM-5.1,95,116.0,9ED865,2024-03-31,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00033,PX74,V30T,3.0,6,114.6,310.4,528.4,3.627,FM-7.6,225,112.0,674E0B,2026-02-04,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00034,PX44,B18T,1.8,4,174.3,144.3,221.2,3.594,FM-13.0,120,110.2,E94888,2024-12-20,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00035,PX44,V30T,3.0,6,207.3,307.3,632.4,2.853,FM-11.0,258,120.1,CA961A,2025-12-13,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00036,PX90,V35H,3.5,6,71.9,232.9,580.9,3.225,FM-10.7,118,118.8,9A9DC7,2024-11-05,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00037,PX25,V50D,5.0,8,139.4,411.0,795.9,3.778,FM-12.5,238,116.8,AEF77E,2026-05-30,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00038,PX55,B20T,2.0,4,150.2,195.7,282.8,3.946,FM-5.8,188,107.3,83EE20,2025-06-18,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00039,PX67,B20T,2.0,4,139.8,187.7,326.2,3.342,FM-8.5,180,106.6,96E407,2025-06-10,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00040,PX71,B20T,2.0,4,152.0,188.3,424.8,3.289,FM-9.3,183,107.0,3DAAFC,2025-03-15,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00041,PX58,B18T,1.8,4,133.9,112.0,281.8,4.000,FM-8.8,173,107.6,E491DB,2024-12-16,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00042,PX49,V30T,3.0,6,153.6,335.3,603.4,3.251,FM-9.7,208,116.1,D5DF12,2025-05-25,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00043,PX31,V30T,3.0,6,189.3,244.3,643.8,3.280,FM-13.8,207,116.3,AA553A,2026-02-03,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00044,PX36,B18T,1.8,4,135.5,106.5,251.0,3.887,FM-5.5,143,107.7,BE065A,2026-01-17,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00045,PX45,V30T,3.0,6,175.3,307.4,569.4,3.053,FM-8.5,225,112.4,BCA35F,2025-05-23,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00046,PX47,B20T,2.0,4,182.5,153.0,336.2,3.890,FM-8.3,146,114.4,D9C363,2026-05-25,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00047,PX31,B20T,2.0,4,114.3,148.4,312.8,3.297,FM-10.0,199,114.8,DC5A36,2024-04-27,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00048,PX40,V30T,3.0,6,182.4,341.7,451.6,3.505,FM-3.1,253,113.0,29712B,2024-12-19,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00049,PX39,V50D,5.0,8,244.1,397.6,746.9,4.138,FM-6.8,262,121.8,D58C33,2025-11-27,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00050,PX35,B20T,2.0,4,152.8,218.5,373.4,3.775,FM-12.5,194,115.1,E190D0,2025-10-05,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00051,PX86,V35H,3.5,6,144.9,313.4,732.3,3.957,FM-3.6,57,114.7,982EF7,2025-12-20,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00052,PX72,V35H,3.5,6,110.5,365.8,693.9,3.452,FM-7.4,140,120.4,ADEF21,2026-06-16,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00053,PX23,B18T,1.8,4,150.8,158.5,242.9,3.461,FM-9.1,138,111.2,6C0034,2025-10-19,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00054,PX32,B18T,1.8,4,117.9,146.5,256.3,3.605,FM-12.6,123,106.8,E18DB1,2026-06-26,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00055,PX84,V35H,3.5,6,126.4,282.8,647.2,3.412,FM-11.5,50,112.1,981D36,2024-12-07,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00056,PX85,V35H,3.5,6,160.4,273.9,730.9,3.145,FM-11.5,97,117.8,80BBC7,2025-04-08,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00057,PX23,B20T,2.0,4,134.1,161.1,334.2,3.095,FM-11.1,163,106.1,52C162,2024-07-09,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00058,PX48,B18T,1.8,4,113.2,132.9,255.5,3.686,FM-3.4,156,108.1,E7D1E7,2024-03-31,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00059,PX25,B18T,1.8,4,122.0,111.4,316.3,3.229,FM-6.8,145,111.6,F0CA07,2024-02-09,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00060,PX37,V35H,3.5,6,71.9,300.7,729.3,3.411,FM-8.7,94,111.0,19B30B,2026-06-09,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00061,PX94,V30T,3.0,6,123.3,300.9,572.4,3.014,FM-13.0,232,112.7,7F6443,2025-10-19,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00062,PX52,B20T,2.0,4,179.7,150.5,375.3,3.837,FM-11.3,200,113.2,50D8F9,2025-10-10,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00063,PX49,B18T,1.8,4,102.4,142.2,287.6,3.748,FM-4.2,141,107.0,138EEE,2026-02-23,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00064,PX97,B20T,2.0,4,133.5,211.1,428.5,3.338,FM-3.5,159,109.0,4C157F,2026-03-10,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00065,PX83,B18T,1.8,4,100.6,127.5,312.0,4.132,FM-6.1,124,113.6,94E2EE,2025-12-07,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00066,PX80,V30T,3.0,6,151.5,231.7,555.0,2.986,FM-3.4,199,120.3,D38039,2025-06-28,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00067,PX66,V50D,5.0,8,156.3,340.5,791.8,3.789,FM-4.2,240,125.2,9C081B,2025-03-08,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00068,PX74,V30T,3.0,6,184.7,258.8,595.1,3.530,FM-12.3,197,110.6,03177D,2026-01-29,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00069,PX91,V35H,3.5,6,146.4,379.2,614.2,3.860,FM-10.0,103,117.0,3378BD,2024-11-06,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00070,PX23,B20T,2.0,4,122.8,174.3,365.6,3.570,FM-11.4,197,112.5,F84BC1,2025-07-05,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00071,PX87,V35H,3.5,6,85.8,301.5,592.6,3.529,FM-3.8,114,117.2,CAA17C,2025-07-08,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00072,PX51,B20T,2.0,4,153.0,178.6,393.7,3.585,FM-9.5,184,109.9,A5DBAD,2026-03-26,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00073,PX79,V50D,5.0,8,236.9,285.2,740.7,3.930,FM-13.1,267,124.8,A35499,2025-11-29,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00074,PX95,V50D,5.0,8,189.5,349.1,830.0,3.694,FM-7.5,262,116.2,9E0A2E,2024-07-01,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00075,PX83,B18T,1.8,4,181.5,125.6,237.4,3.568,FM-9.5,118,109.4,3014F5,2024-04-11,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00076,PX64,V35H,3.5,6,80.9,321.1,539.7,4.024,FM-7.0,95,119.2,C5CBCF,2025-12-31,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00077,PX80,V35H,3.5,6,160.0,301.4,732.0,4.085,FM-7.6,105,113.4,B903C1,2024-03-03,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00078,PX62,V30T,3.0,6,201.5,273.4,456.5,3.534,FM-7.4,208,118.2,8296F9,2025-07-14,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00079,PX43,V50D,5.0,8,203.8,284.0,921.5,4.187,FM-13.6,284,120.0,AD9C4C,2024-05-20,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00080,PX43,V50D,5.0,8,179.0,285.8,837.6,3.370,FM-6.0,286,122.1,6F083C,2024-09-12,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00081,PX86,V35H,3.5,6,150.9,255.6,502.5,3.978,FM-3.5,63,117.8,6F276C,2025-09-02,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00082,PX40,B18T,1.8,4,107.9,125.9,241.9,3.662,FM-6.3,135,111.4,C493D2,2025-11-07,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00083,PX79,B18T,1.8,4,143.5,142.5,247.9,3.415,FM-3.0,115,111.5,DDA67E,2025-03-13,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00084,PX95,B18T,1.8,4,173.0,116.7,317.0,3.586,FM-9.7,139,107.2,B25693,2024-06-25,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00085,PX42,V35H,3.5,6,148.9,226.8,512.3,2.948,FM-4.2,149,120.8,49AD51,2025-02-04,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00086,PX93,B20T,2.0,4,180.8,171.9,365.8,3.500,FM-11.7,189,106.8,C85DCC,2025-12-25,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00087,PX77,V50D,5.0,8,153.2,402.5,735.3,3.460,FM-3.3,236,122.5,624CF9,2024-02-09,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00088,PX94,V30T,3.0,6,216.9,289.2,442.5,2.947,FM-6.2,247,117.6,CCA9E0,2024-06-16,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00089,PX62,V30T,3.0,6,157.2,289.4,565.0,2.942,FM-13.1,183,112.7,0F36DC,2026-01-14,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00090,PX31,V30T,3.0,6,193.9,343.0,534.9,3.570,FM-12.3,181,112.3,439E81,2024-05-05,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00091,PX21,V30T,3.0,6,209.5,256.0,507.7,3.053,FM-7.3,258,117.0,125FC0,2024-11-11,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00092,PX38,B20T,2.0,4,130.8,170.4,401.1,3.818,FM-10.4,135,108.9,266D62,2026-04-18,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00093,PX65,V35H,3.5,6,162.4,275.2,717.9,3.718,FM-3.4,82,109.9,68B7F2,2025-11-10,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00094,PX31,V50D,5.0,8,209.0,284.8,756.8,4.077,FM-4.6,207,117.8,51EEAC,2024-06-22,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00095,PX37,B18T,1.8,4,163.2,129.4,255.3,3.323,FM-9.0,142,113.4,9F405C,2024-03-17,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00096,PX55,V50D,5.0,8,140.9,265.8,773.3,3.211,FM-8.1,196,116.7,0C53FD,2026-04-05,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00097,PX90,V35H,3.5,6,137.9,310.5,531.6,2.948,FM-8.7,68,112.8,2FCC15,2025-02-15,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00098,PX40,B18T,1.8,4,100.2,151.1,294.8,3.913,FM-5.5,170,109.9,63BFC5,2026-06-25,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00099,PX27,V35H,3.5,6,142.2,335.3,517.4,2.957,FM-10.4,158,113.7,6A064F,2024-09-01,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00100,PX37,V35H,3.5,6,73.0,351.9,685.0,3.110,FM-8.6,139,114.5,6C2A93,2024-02-03,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00101,PX75,V35H,3.5,6,163.0,246.5,518.9,3.507,FM-11.0,56,109.8,02CDB7,2025-12-29,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00102,PX59,V50D,5.0,8,185.6,347.5,747.9,3.724,FM-10.0,254,118.2,947151,2025-10-04,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00103,PX31,V50D,5.0,8,258.0,325.1,935.4,3.971,FM-9.4,270,122.4,AFE7C7,2024-12-18,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00104,PX30,V50D,5.0,8,141.1,287.6,833.4,4.164,FM-3.2,238,121.2,943D9C,2024-05-08,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00105,PX76,B18T,1.8,4,104.3,106.0,244.9,3.998,FM-12.6,178,112.4,202540,2025-04-18,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00106,PX51,V50D,5.0,8,221.1,351.1,921.7,4.192,FM-11.8,226,120.7,F30C8D,2024-11-28,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00107,PX93,V35H,3.5,6,79.2,286.4,504.3,3.765,FM-3.4,56,117.6,4E5778,2025-06-07,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00108,PX37,B20T,2.0,4,161.1,193.7,316.5,3.580,FM-9.4,168,110.1,4D0F41,2025-03-25,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00109,PX72,V50D,5.0,8,177.6,395.5,702.4,3.998,FM-6.4,225,114.7,1F49A5,2025-02-26,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00110,PX22,V30T,3.0,6,139.4,226.4,597.5,2.898,FM-5.6,246,118.9,AFE2E1,2024-10-29,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00111,PX87,V35H,3.5,6,94.7,278.7,687.7,3.234,FM-4.8,108,109.5,BDFB6B,2025-03-09,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00112,PX54,V35H,3.5,6,132.1,357.3,736.2,3.170,FM-12.0,139,111.4,14F62F,2024-12-06,HEV,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00113,PX71,V50D,5.0,8,169.6,373.9,848.0,4.223,FM-7.3,269,113.6,55DADD,2026-06-24,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00114,PX69,B20T,2.0,4,100.7,199.7,353.2,3.517,FM-9.3,165,110.7,7899A5,2024-05-13,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00115,PX29,V30T,3.0,6,155.9,254.1,579.4,3.738,FM-12.1,250,115.8,97DF5B,2024-09-06,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00116,PX85,V50D,5.0,8,217.2,326.8,773.8,4.291,FM-13.4,225,124.5,A9D402,2025-03-17,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
CAL-00117,PX47,V30T,3.0,6,192.3,248.7,582.9,3.365,FM-11.4,209,114.3,3A3FF5,2025-12-16,ICE,Cycle-specific CO2 result; apply variant market procedure for certification record,OBD-II/EOBD; WWH-OBD where applicable
